eng,afr,zul,xho,ssw,nbl,nso,tsn,sot,ven,tso
acculturation,akkulturasie,ukunikezelana ngamasiko,utshintshiselwano ngenkcubeko,kutselelana kwemasiko,ukuthatha amasiko wakosobantu okubangelwa kuqongelana ngokwamasiko,tlwaetšo ya setšo,tlwaetso ya setso,tlwaetso ya meetlo,vhufhaṱamvelele,mfuwontekelelwa
acephalous society,"leierlose samelewing, asefale samelewing",umphakathi ongenanhloko ngokwezombusazwe,uluntu olungenayo inkokeli,ummango lote inhlokho,umphakathi onganabadosiphambili,setšhaba seo se se nago moetapele wa sepolotiki,setšhaba tlhoka-moeteledipele,setjhaba se se nang moetapele,tshayamukoma,xikalahosi
achieved status,verworwe status,isikhundla esisetshenzelwe,iwonga elifikelelweyo,simobunjalo lesizuziwe setenhlalo,ubujamo obuzuziweko,phihlelelo ya maemo,seemo se se fitlheletsweng,maemo a fihlelletsweng,vhuimo,xiyimo lexi fikeleriweke
adult socialisation,volwasse sosialisering,ukulungiselelwa impilo yobudala,uqhelaniso lobuntu lwabantu abadala,kukhulisa umuntfu lomdzala,ikambiso yokulungiselela ubudala,thuto ya go tlwaetša go phela le batho,thuto ya bogolo,thuto ya botho ya boholo,ngudiswakhutshilele,xiseveseve
affinal kin,aangetroude familie,izihlobo ngokomshado,umzalwane ngokomtshato,"tihlobo ngekwemendvo, umshado",ukuhlobana ngokuthathana,balapa ka lenyalo,balosika ka nyalo,leloko la madi,mashaka nga nzeo,vamaseve
affluent society,welvarende gemeenskap,umphakathi onothile waseMelika,uluntu olunobutyebi,ummango lonjingile,umphakathi onjingileko,setšhaba se se atlegilego,setšhaba se se humileng,setjhaba se atlehileng,vhathu vha no ḓikona ,swixurhana
age grade,leeftydsgroep,ontanga,ihlelo,bontsanga bebulili bunye,igreyidi yobudala,sehlopha sa mphato o tee,setlhopha go ya ka dingwaga ,sehlopa,tshigwadathanga,tintangha
age set,ouderdomsgroep,ibutho elilawulayo,iseti yobudala,licembu labontsanga,isiqhema esihlanganisa abomma nabobaba,sete ya mengwaga,sete ya dingwaga,sete ya dilemo,sethethanga,tintangha
agency,bemiddeling,ukusebenzela abanye,"uncedo, ishishini lomenzeli",i-ejensi,umenzeli,boemedi,boemedi,boemedi,vhunzhakanḓila,muyimeri
agrarian society,agrariese samelewing,umphakathi olima ngegeja,umbutho onxulumene nomhlaba,ummango lolimako,umphakathi wezelimo,setšhaba sa bolemi,setšhaba sa temo,setjhaba sa bolemi,tshitshavha tsha ndimo,varimi
alienation,vervreemding,i-alineshini,ukuphephetha,kwehlukanisa,ukuhlukanisa,karoganyo,kgaoganyo,karohanyo,bandashaya,xikhiri
ambilineal descent,ambilineêre afkoms,isizukulwana samadodana namadodakazi,inzala yemilibo emibini,kuhlobana kwentalelwane yekhabobabe neyekhabomake,ukulamana ngokweenini,tatelano ka mahlakoreng a mabedi,botso jwa matlhakore a mme kgotsa ntate,tatelano ka mahlakoreng ohle,vhushakavhuṱhanganeli,vakaxin'wana
ambilocality,ambilokaliteit,ukuzikhethela kwabashadikazi abazali abazohlala nabo,iindawo ezimbini,ebukhweni,ndawo ehlala abatjhadeneko,bodulo bja banyalani,bonno jwa banyalani jo bo gaufi le balosika,bodulo haufi le lelapa la e mong,"vhuhadzi, muḓivhuhadzi",muti
ancestor worship ,voorouerverering,ukuhlabela amadlozi ,unqulo lwezinyanya,kukhonta emadloti,ukulotjha abezimu,tumelo mo go badimo,kobamelo ya badimo,ho rapela badimo,vhurereli,gandzelo
animism,animisme,i-enimizimu,unqulo lwezilwanyana,bulwane,i-animizimu,kabelo ya bophelo,tumelo ya gore dilo tsotlhe di na le mowa,"ho fa ntho, ntho e phelang, motho ya ileng sebopeho sa motho","vhutendavhadzimu, vhutendavhamatongoni",swikwembu
Applied Anthropology,"Toegepaste Antropologie, Toegepaste Volkekunde",ezokusetshenziswa kobungcweti be-antropholoji,ulwazi olusebenzayo lomntu njengesidalwa,sifundvo mayelana netenhlalo yebantfu lesetjentiswako,ukuphrakthisa indabuko namasiko wabantu,antropholotši ya go šoma,tiriso ya tiori ya thuto ya batho le ditso,Thuto e Sebedisehang ya Meetlo le Setho,Ngudamveleletshumiswa,ntivovuxaka bya vanhu ni vakokwana wa kona hi ku endla kunene
assimilation,assimilasie,ukuguquka kwabantu abayingcosana bamukele amasiko eningi,ufaniso ,kumitwa,ukufana,kakaretšo,tshwaetsano,phetoho ya botho e bakwang ke bojaki,vhumilwa,ku dyiwa
automation,outomatisasie,ukusetshenziswa kwemishini ekukhiqizeni,ukusebenzisa oomatshini abazihambelayo,kuntjintja,indlela yokwenza ngaphandle kwabantu,tšhomišo ya metšhene,tiriso ya metšhini,tshebediso ya metjhini,vhushumisamitshini,ku tirhisa michini
avunculocal residence,woning van oom aan moederskant,ukuhlala kwabashadikazi noninalume wendoda,indawo yokuhlala kwamalume (MB),likhaya lamakoti nemkhwenyana,ukuhlala nimndeni nalabo abaqeda ukutjhada,madulo a banyalani a kgauswi le ga malome,bonno jo bo gaufi le malomaagwe monna,"bodulo lapeng la, kapa haufi le, lapa la malome wa monna",vhuhadzi muḓini wa malume,muti
balanced reciprocity,gebalanseerde wederkerigheid,ukubuyiselana isipho okulinganisiweyo,ukwenzelana ngokufanayo okulinganayo,bubili lobusimeme,ukuphana izipho ngokulinganako,neelano ya dimpho,neelano ya dimpho ka tekatekano,ho fana ho lekalekanang,mphondingani,xandlafambaxandlavuya
band,groep,ibhendi,iqela,ibhendi,iyunidi eyodwa,sehlopha sa basenyi,setlhopha sa batsomi le babatli ba dijo,sehlopha sa basedi,"vhaṱalazwiḽiwa, vhadzimba",ntlawa
banditry,struikrowery,ububhendi,ubugebenga,bugebengu,iselelesi,borabela,bosenyi,borabela,"vhaṱanguli, mavemu, vhuravhele",vunsulavoya
bifurcate (collateral kinship terminology),gevurkte (sylinie-) bloedverwantterminologie,amathemu obundeni,ukwahlula kube ngamasebe amabini (isigama sokuzalana somnombo onamasebe amabini),emagama etigaba tekuhlobana ngekwentalelwano,itheminoloji yokulamana komhlobo owodwa weenhlobo,mareo a boloko,mareo a lotso,mareo a leloko a mahlakore ohle,bifukhathe,xixaka
big man,grootman,indoda 'enkulu',indoda enkulu,indvodza lenkhulu,umuntu omkhulu ophetheko esitjhabeni,monna yo mogolo,monna yo mogolo,mampodi,mufaeli,xidyavukosi
bilateral descent,"tweesydige afkoms, bilaterale afkoms",isizukulwana ezinxambili,isizukulwana kumacala amabini,buhlobo lobumkhakhambili,ukuqakatheka kwamahlangothi womabili lakomma nelakobaba,tatelano ka mahlakoreng a mabedi,botso jwa matlhakorepedi,"tatelano ka mahlakoreng ka bobedi, ka tswalo",shakahuvhili,xikalatlhelo
bilateral kinship calculation,bilaterale verwantskapberekening,ukubala izihlobo ngokobulili,ubalo lokuzalala kumacala amabini,kubalwa kwebuhlobo lobumkhakhambili,ukubala ukulingana kobuhlobo,"palo ya leloko, lešika",palelo ya lotso la matlhakorepedi,kananelo ya leloko mahlakoreng ka bobedi,khovhavhushaka,xaka ra vele na ngati
bilocal residence,bilokale woning,ukuhlala kwabashadikazi nezihlobo zendoda nezikankosikazi ngokulandelana,ikhaya kwiindawo ezimbini,ebukhweni,ibhayilokhali residensi,madulo a go fetolana,bonno jwa thefosanyo,bodulo dibakeng tse pedi,hayakavhili,ku rhurharhurha
biological determinists,biologiese deterministe,abakholelwa ekuthini ukuziphatha komuntu kuya ngokusebenza komzimba wakhe,izimiseli zebhayoloji,bocepheshe betelufuto,ibhayolojikhali deteministhi,balaetši ba tlholego go ya ka tlhago ,batlhotlhomisi ba baeoloji,ba dumelang ho taolo ya tlhaho,vhatikedzi vha mbebondangi,vuxaka bya ngati
biological reductionism,biologiese reduksionisme,ukuziphatha komuntu ngokokusebenza komzimba,ukuncitshiswa ngokwebhayoloji,bocwepheshe bekutiphatsa kwebantfu,ibhayolojikhali redaktjhinizimu,phokotšo ya tlholego go ya ka tlhago,phokotsotharaano ya baeoloji,ho dumela hore tlhaho e laola tsohle,mbebondangi,nxopaxopo wa swihumelelo swo karhi
bourgeoisie,"middelstand, burgerstand, bourgeoisie ",abaninizindlela zokukhiqiza,umntu onamawonga nobunewunewu,umkhakha losemkhatsini,abantu abasezingeni eliphakathi lepilo,"bourgeoisie, bahumi",setlhopha sa loago se se humileng ka ntlha ya ntshokuno,beng ba disebediswa tsa tlhahiso,zwiṱunḓulume,swixurhana
bride price,"bruidsprys,  bruidskat, lobola",ilobolo,"ilobola, intlawulo yomtshakazi",emalobolo,ilobolo likamakoti,"lobola, tšhelete ya bogadi",bogadi,bohadi,"dzekiso, lumalo",cuma
