id,eng__001,eng__002,afr__001,afr__002,afr__003,afr__004,zul__001,zul__002,xho__001,xho__002,xho__003,xho__004,xho__005,xho__006,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,tsn__004,nso__001,nso__002,nso__003,sot__001,sot__002,ven__001,ven__002,ven__003,tso__001,tso__002,tso__003
dsac_multi_art_00001,accompany,,begelei,,,,ukuphelezela iculo,,ukukhapha ngesixhobo somculo,,,,,,yelelekelela,khapha,culisana,,-vumisana,,,,pa'ta,,,,-kibela,,,-tshehetsa,,bvumela,,,hlavelela,,
dsac_multi_art_00002,acid jazz,,acid-jazz,acid jazz,,,umculongxube,ijezingxube,umxube womngqungqo,,,,,,umculo locubene,,,,umvumo omvango,,,,motswako wa jese,,,,motswako wa jese,,,motswako wa jese,,dzheze ya esidi,,,mpfangano wa jeze,,
dsac_multi_art_00003,acoustic bass guitar,,akoestiese bas,akoestiese baskitaar,,,isiginci sebhesi esingadlali ngogesi,,isiginkci esindyondyayo esingasebenzisi mbane,ikatala endyondyayo engasebenzisi mbane,,,,,igatari yebhesi lengasebentisi igezi,,,,igatara yebhesi engasebenzisi igezi,,,,kataraporo ya akhostiki,,,,katara ya peisi ya go se šome ka mohlagase,,,katara ya akhostiki ya bese,,kaṱara ya bisi ya gumbu,kaṱara ya bizi ya gumbu,kaṱara ya bazi ya gumbu,katarankagezi ya bizi,,
dsac_multi_art_00004,acoustic guitar,,akoestiese kitaar,,,,isiginci esingadlali ngogesi,,isiginkci esingasebenzisi mbane,ikatala engasebenzisi mbane,,,,,igatari lengasebentisi igezi,,,,igatara engasebenzisi igezi,,,,katara ya akhostiki,,,,katara ya go se šome ka mohlagase,,,katara ya akhostiki,,kaṱara ya gumbu,,,katarankagezi,,
dsac_multi_art_00005,acrobat,,akrobaat,,,,umgwilingi,,umntu owonwabisa ngobuchule bokuthamba komzimba,,,,,,somankayi,,,,umgwiniki,umgwilingi,,,motsarogi,moakerobate,,,akheropete,motsarogi,,moakrobate,,muakhurobathi,,,mundzuluki,,
dsac_multi_art_00006,acrobatic <adj.>,,akrobaties,,,,okunomgilingo,,-nobuchule bokuthamba komzimba,,,,,,-samankayi,,,,-gwinikako,-gwilingako,,,boakerobate,botsarogi,,,-boakheropete,-botsarogi,,-akrobatiki,,vhuakhurobathi,,,vundzuluki,,
dsac_multi_art_00007,act <v.>,,toneelspeel,,,,ukulingisa,,dlala eqongeni,dlala kwifilim,dlala kwibhanyabhanya,,,,dlala,,,,-lingisa,,,,diragatsa,,,,-diragatša,-bapala,-raloka,-bapala,,tamba,,,tlanga,,
dsac_multi_art_00008,actress,,aktrise,,,,umlingisikazi,,umdlali weqonga wasetyhini,umdlali webhanyabhanya wasetyhini,umdlali wefilim wasetyhini,,,,umdlali lomsikati,,,,umlingisi omsikazi,,,,modiragatsigadi,,,,modiragatši wa mosadi,,,sebapadi se se tshehadi,,mutambamatambwakadzi,mutambikadzi,mutambi,mutlangikazi,,
dsac_multi_art_00009,aficionado,,aficionado,liefhebber,,,umthandimculo othile,,umthandi womculo othile,inxila lomculo othile,,,,,umtsandzimculo,,,,umkhonzi womvumo othileko,,,,moratammino,,,,afišionato,morati wa mmino,,mothahaselli,afishionado,mufuni,mutakaleli,aficionado,muhisekeri,,
dsac_multi_art_00010,African melody,,Afrikamelodie,,,,imvunge yase-Afrika,,umongo wengoma yaseAfrika,,,,,,indlelaculo yase-Afrika,imelodi yase-Afrika,indlelaculo ye-Afrika,,umdumomvumo we-Afrika,imelodi ye-Afrika,,,molodi wa Seaforika,,,,molodi wa Seafrika,,,molodi wa Afrika,,muungo wa Tshiafrika,,,vunanga bya Xiafrika,,
