id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,afr__004,afr__005,afr__006,xho__001,xho__002,xho__003,xho__004,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,Setswana__-,nde__002,nde__003,nso__001,Sesotho__-,nso__002,nso__003,nso__004,ven__001,ven__002,ven__003,ven__004,ven__005,ven__006,tso__001,tso__002,tso__003,tso__004
dsac_pharm_first_00001,abdominal <adj.> {anatomy},,,abdominaal,abdominale,buik-,,,,-namazantsi esisu,,,,-phatselene nesisu,,,,-phathelene namathumbu,,-phathelene nendeni,,-mpa,,,,,thumbuni,,,,,,-byeke,,,
dsac_pharm_first_00002,abdominal cavity,,,abdominale holte,buikholte,,,,,isiqulathimbilini,,,,sigcinitibilini,sicukatsitibilini,,,isimumathimathumbu,,isimumathindeni,,lešobampa,,phagompa,,,thumbuthumbu,,,,,,baku ra byeke,,,
dsac_pharm_first_00003,abrasion {medical},,,skaafplek,skaafwond,,,,,umkrwelo,,,,umhubuko,,,,umrhuzuko,,umrhubuko,,kgobogo,,,,,mukhuvhulane,,,,,,ntshwumuko,,,
dsac_pharm_first_00004,acetone,,,asetoon,dimetielketoon,,,,,iasethoni,,,,i-asethoni,,,,i-asethoni,,,,asethoune,,,,,asethouni,,,,,,asethoni,,,
dsac_pharm_first_00005,acid indigestion,,,sooibrand,,,,,,isitshisa,isilungulela,,,silungulela,,,,ukuthonta kwe-esidi ngokweqileko,,,,seokelela,,,,,tshayatsukanyo ya dungi,tshayatsukanyo ya esidi,,,,,nkampfuvelo wa asidi,nkanghayelo wa asidi,,
dsac_pharm_first_00006,acne {bacterial infection},,,aknee,,,,,,amaqhuqhuva okufikisa,,,,emajiji,ematjitji,,,amathuthuva wokugula,,amajiji wokugula,,dithala,,,,,vhupunduphundu,,,,,,swidlanhlangana,swibundzwana,swirhumbana,
dsac_pharm_first_00007,acquired deformity {condition contracted after birth},,,verworwe misvorming,,,,,,ubulima ongazalwanga nabo,,,,bunkhubela,,,,ubuqhwala,,ukukhubazeka,,kgolofalo,,,,,vhuholefhali ho tou ḓaho,,,,,,vulamari,vugonoki {a ri amukeleki},,
dsac_pharm_first_00008,acrylate {used in e.g. taste masking},,,akrilaat,,,,,,iakhrileyithi,,,,i-akhrayilathi,,,,i-akhrileyithi,,,,akhrileiti,,akhirileiti,,,akhrilethi,,,,,,akhirileti,,,
dsac_pharm_first_00009,active pharmaceutical ingredient,API,,aktiewe farmaseutiese bestanddeel,aktiewe bestanddeel,,,,,undoqochiza kumxube,undoqoyeza kumxube,,,likhambingco,,,,isithako esiyisika,,,,motswakokgolo,,,,,thimbyana dza mushonga dzi no shuma,,,,,,xicincavutitwi emirini,,,
dsac_pharm_first_00010,acupuncture,,,akupunktuur,,,,,,iatyhuphanktsha,unyango ngeenalitana,,,kwelapha ngemutsitinsungulo,i-akhuphansha,,,ukulumeka,,i-akhyuphantjha,,go lomega,,tomego,akhuphantšha,,akhuphantsha,,,,,,mphulo,ku lumeka,ku tlhavela,
dsac_pharm_first_00011,acute care,,,akute versorging,akute sorg,,,,,unyango losuleleko lwethutyana,,,,lunakekelokwelashwa loluphutfumako,lunakekelosimo lesiphutfumako,,,itjhejo lobujamo oburhabako,,,,tlhokomelona,,,,,ndondolo ya shishi,ndondolo ya tshifhinganyana,,,,,vuongori bya xinkadyana,vutshunguri bya xinkadyana,nhlayiso wa xinkadyana,
dsac_pharm_first_00012,acute infection,,,akute infeksie,,,,,,usuleleko lwethutyana,,,,kuhabula,,,,ukugula okubhudungelanako,,,,phetetšonakwanatwatši,,,,,u kavhiwa lwa tshifhinganyana,phirela ya tshifhinganyana,,,,,ntlulelovuvabyi wa xinkadyana,,,
dsac_pharm_first_00013,adrenalin,adrenaline,,adrenalien,,,,,,iadrenalini,indulumbane,,,i-adrenalini,,,,i-adrenalini,,,,aderenalini,,aterenalini,,,aḓirenaḽini,aḓrenaḽini,,,,,adirenalini,,,
dsac_pharm_first_00014,adult dose,,,volwassenedosis,volwasse dosis,,,,,umlinganiselo wabadala,,,,silinganisomutsi salabadzala,umtsamomutsi walabadzala,,,isilinganiso sabakhulu,,,,tekanyohlarebagolong,,,,,phimamushonga wa vhahulwane,,,,,,mpimamurhi wa lavakulu,,,
dsac_pharm_first_00015,adverse event {undesirable medical occurrence},AE,,nadelige voorval,,,,,,isiphumo sonyango esingalindelekanga,,,,simo lesingakalindzeleki,sehlakalo lesingakalindzeleki,,,ukwaliwa sihlahla,,ukwaliwa mtjhoga,,phapogokalafi,,,,,tshiimo tshi songo lavhelelwaho,,,,,,xiendleko xo biha,,,
dsac_pharm_first_00016,aerobic bacteria,,,aërobiese bakterieë,suurstofbehoewende bakterieë,,,,,iintsholongwane eziphila ngomongomoya,,,,ligciwane leliphila ngemoyamphilo,,,,umulwana ophila ngommoya,,ibhakthiriya ephila ngeoksijini,,paketheriyahlokaokisitšene,,,,,tshitzhili tshi no tshila nga okisidzheni,tshitzhili tshi no tshila nga oksidzheni,tshitzhili tshi no tshila nga muyumufhe,,,,xitsongwatsongwanamadinga-moyatenga,,,
dsac_pharm_first_00017,agar,,,agar,agarjellie,seewierjellie,,,,iaga,,,,inkhushe,i-aga,,,i-agar,,,,eika,,,,,aga,,,,,,agara,,,
dsac_pharm_first_00018,agglomeration,,,agglomerasie,,,,,,intlanganisela yamasuntswana,,,,kubutselelana,,,,ibuthelelwano leentsherwana,,i-adlhomereyitjhini,,momagano,,,,,munambatelano wa zwipiḓa,,,,,,nhlanganiso,,,
dsac_pharm_first_00019,agglutination,,,agglutinering,agglutinasie,saamklonting,,,,uncamathelwano lweeseli zegazi,,,,kunamatselana,,,,ukunamathelana,,,,kgomarelano,,,,,nambathelano,,,,,,namarelano,,,
dsac_pharm_first_00020,airsickness,,,lugsiekte,,,,,,ukuguliswa luhambo ngezithuthi,,,,kugula lokubangwa kuhamba ngetitfutsi tasemoyeni,kunyakuleka uma usemoyeni,kuba nesiyeti uma usemoyeni,,ukuphakanyelwa ziimbindi ngokuphakama,,,,bolwetši bja samadikwe,,bolwetši bja modukologo,,,vhulwadzembangwa nga zwiendazwikhalani,,,,,,vuvabyimpfhukeni,,,
