id,eng__001,eng__002,eng__003,eng__004,afr__001,afr__002,afr__003,zul__001,zul__002,zul__003,zul__004,xho__001,xho__002,xho__003,xho__004,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,nso__001,nso__002,nso__003,nso__004,nso__005,sot__001,sot__002,sot__003,sot__004,ven__001,ven__002,ven__003,tso__001,tso__002,tso__003
dsac_multi_parl_00001,absolute majority,,,,absolute meerderheid,volstrekte meerderheid,,ubuningi obugunyazayo,,,,isininzi esingathandabuzekiyo,,,,linyenti lelingangabateki,,,,ubunengi obugunyazako,,,,bontsintsi,,,bontšiphetišo,,,,,bongata bo kgodisang,,,,-nga vhunzhi,,,vunyingi-xiviri,,
dsac_multi_parl_00002,abstain from voting,,,,buite stemming bly,,,-godla ivoti,-ngavoti,,,ukungavoti,,,,kungavoti,kugodla livoti,godla livoti,,-godla ivowudu,,,,go se tlhophe,go se boute,,ikgogela morago dikgethong,,,,,ho ikgethela ho se voute,,,,u litsha u vouta,,,ku nga vhoti,,
dsac_multi_parl_00003,abstention,,,,weerhouding,,,ukugodla ivoti,,,,ukungavoti,,,,kungavoti,,,,ukugodla,,,,go se tlhophe,go se boute,,boikgogelomorago,,,,,boikgethelo ba ho se voute,,,,u sa vouta,u sa khetha,u litsha u khetha,ku nga vhoti,,
dsac_multi_parl_00004,act n. <see also law; rule> {promulgated by parliament},,,,wet,,,umthetho {wephalamende},,,,umthetho wepalamente,,,,umtsetfo,,,,umthetho,,,,molao,,,molao,,,,,molao,,,,mulayo,,,nawu,,
dsac_multi_parl_00005,acting premier,,,,waarnemende premier,,,ibamba likandunankulu,,,,inkulumbuso ebambeleyo,,,,libambelandvunankhulu,,,,umjaphethe kandunakulu,,,,tonakgolo ya namaotshwere,,,mopremiamotšwaoswere,tonakgolomotšwaoswere,moswarelatonakgolo,,,motshwaredi wa tonakgolo,,,,mulangavundu mufareli,mulangashango mufareli,muphirimia mufareli,mukhomela-holobyenkulu,,
dsac_multi_parl_00006,acting president,,,,waarnemende president,,,ibamba likamongameli,,,,umongameli obambeleyo,,,,libambela lamengameli,libambelamengameli,,,umjaphethe kamongameli,,,,moporesitente wa namaotshwere,tautona ya namaotshwere,,mopresidentemotšwaoswere,mopresitentemotšwaoswere,moswarelamopresitente,moswarelamopresidente,,motshwaredi wa mopresidente,,,,mulangashango mufareli,muphresidennde mufareli,,mukhomela-phuresidente,,
dsac_multi_parl_00007,act of parliament,,,,wet van die parlement,,,umthetho wephalamende,,,,umthetho wepalamente,,,,umtsetfo wephalamende,,,,umthetho wepalamende,,,,molao wa palamente,,,molao wa palamente,,,,,molao wa palamente,ketso ya palamente,,,mulayo wa phaḽamennde,,,nawu wa palamende,,
dsac_multi_parl_00008,additional appropriation,,,,addisionele bewilliging,,,isabelo esengeziwe,,,,ulwabiwo-mali olongezelelweyo,,,,lwabiwo timali lwekwengetelela,sengetelelomaphakelo,,,isabelo esingezelelweko,,,,kabotlaleletso,,,tekanyetšokoketšo,,,,,kabotlatsetso,,,,mukovhonyengedzedzwa,mukovhe u engedzwaho,,nkavelo-ntlhandlekelo,,
dsac_multi_parl_00009,ad hoc committee,,,,ad hoc-komitee,,,ikomidi lesikhashana,,,,ikomiti yexeshana,ikomiti yethutyana,,,likomiti lesikhashana,ikomiti yesikhashana,,,ikomidi yesikhatjhana,,,,komitinakwana,,,komititebanyamodiro,,,,,komiti ya morero,,,,komiti ya tshifhinganyana,komiti ya zwenezwo,,komiti ya nkarhinyana,,
dsac_multi_parl_00010,adjournment,,,,verdaging,,,ukuguqa kwephalamende,,,,ukuchithakala,,,,likhefu,kuvala,kucitseka,,ukukhokha ummoya,,,,kemisonakwana,,,kgaotšo,kemišo,,,,kgefutso,,,,tiba,,,nkhumuko,,
