"eng__001","eng__002","eng__003","eng__004","eng__005","afr__001","afr__002","afr__003","afr__004","afr__005","zul__001","zul__002","zul__003","xho__001","xho__002","xho__003","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","nde__004","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","nso__002","nso__003","sot__001","sot__002","ven__001","ven__002","ven__003","ven__004","tso__001","tso__002","tso__003","tso__004"
"absentee vote","","","","","afwesigekieserstem","","","","","ivoti elithunyelwe","","","ivoti yongekhoyo","","","livoti lalongekho","","","","ivowudu yongekho","","","","tlhopho o se yo"," tlhopho ya tlhokasebele","","","mmouta a sego","","","kgetho ka poso","","u vouta u siho"," u khetha u siho","","","ku vhota u nga ri kona"," ku hlawula u nga ri kona","",""
"absentee voter","","","","","afwesige kieser","","","","","umvoti othumele ivoti","","","umvoti ovote engekho","","","lokhetsa angekho"," lovota angekho","","","umvowudi ongekho","","","","motlhophi a se yo","","","","mmouta a sego","","","mokgethi ka poso","","mukhethi a siho"," muvouti a siho","","","muvhoti a nga ri kona"," muhlawuri a nga ri kona","",""
"absentee voting"," absentee ballot","","","","voorafstemming","","","","","ukuvota ngokuthumela","","","ukuvota ungekho","","","kuvota ungekho"," kukhetsa ungekho","","","ukuvowuda ungekho","","","","-tlhopha o se yo","","","","go bouta o se gona"," go bouta felo go šele","","kgetho pele ho dikgetho","","u khetha u siho"," u vouta u siho","","","ku vhota u nga ri kona"," ku hlawula u nga ri kona","",""
"absolute majority","","","","","volstrekte meerderheid","","","","","ubuningi obugunyazayo","","","igunya lovoto ngokwesininzi","","","bunyenti lobungangabateki","","","","ubunengi obugunyazako","","","","bontsi","","","","bontšiphetišo","","","bongata bo totobetseng","","vhunzhi vhukuma","","","","vunyingi lebyi hetisekeke","","",""
"abstain from voting","","","","","buite stemming bly","","","","","ukugodla ivoti","","","ukugodla ivoti"," ukukhetha ukungavoti","","khetsa kungavoti","","","","-ngakhethi"," -godla ivowudu"," -ngavowudi","","ikiletsotlhopho"," ikgatholosotlhopho"," - sa tlhophe","","go kgetha go se boute","","","- se kgethe","","u sa vouta"," u sa khetha","","","ku tshika ku vhota"," ku tshika ku hlawula","",""
"abuse <v.> {power}","","","","","misbruik","","","","","ukusebenzisa ngokungenabulungiswa","","","ukuxhaphaza","","","dlabhalata"," sebentisa budlabha","","","-gabisa amandla","","","","tirisobotlhaswa","","","","diriša gampe","","","-sebedisa hampe","","u shumisa maanḓa lu si lwavhuḓi"," u shumisa nḓivho lu si lwavhuḓi","","","ku tirhisa hi ndlela yo hoxeka","","",""
"accountability","","","","","verantwoordingsplig"," verantwoordingspligtigheid","","","","isibophezelokubika","","","uxanduva lokuphendula","","","kutiphendvulela","","","","ukuziphendulela"," isibopho","","","boikarabelo"," maikarabelo","","","boikarabelo","","","boikarabelo","","vhuḓifhinduleli","","","","vutihlamuleri","","",""
"accountable <adj.>","","","","","verantwoordingspligtig","","","","","ngokuzibophezela","","","ukuba noxanduva lokuphendula","","","-ba nekutiphendvulela","","","","-ziphendulelako","","","","ikarabelang","","","","-wa boikarabelo","","","-ikarabelang","","-vha na vhuḓifhinduleli","","","","-tihlamulela","","",""
"accredited observer","","","","","geakkrediteerde waarnemer","","","","","ingqaphelikhetho egunyaziwe","","","umakhi-mkhanyo ovunyiweyo","","","umbekiliso logunyatiwe","","","","umbekilihlo ogunyaziweko"," umtjheji ogunyaziweko","","","moelatlhokotetlwa"," molebeleditetlwa","","","molebeledi wa maloka","","","molekodi ya ananetsweng","","mulavhelesi a re na thendelo","","","","muxiyaxiyi loyi a pfumeleriweke","","",""
"accrue {legal}","","","","","oploop","","","","","ukuphoqeleka"," ukuthwaliseka","","ukwandisa amanani","","","ngeteka","","","","-sebenziseka","","","","direga"," kgonega","","","-diragatša","","","-sebediseha","","engedzea","","","","sindzisa","","",""
"act <n.>","","","","","wet","","","","","umthetho","","","umthetho","","","umtsetfo","","","","umthetho","","","","molao","","","","molao","","","molao","","mulayo","","","","nawu","","",""
