id,eng__001,eng__002,eng__003,eng__004,eng__005,eng__006,eng__007,eng__008,afr__001,afr__002,afr__003,afr__004,afr__005,afr__006,zul__001,zul__002,zul__003,zul__004,zul__005,xho__001,xho__002,xho__003,xho__004,xho__005,xho__006,xho__007,xho__008,ssw__001,ssw__002,ssw__003,ssw__004,ssw__005,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,tsn__004,tsn__005,tsn__006,nso__001,nso__002,nso__003,nso__004,nso__005,nso__006,sot__001,sot__002,sot__003,sot__004,sot__005,sot__006,sot__007,ven__001,ven__002,ven__003,ven__004,ven__005,ven__006,ven__007,ven__008,ven__009,tso__001,tso__002,tso__003,tso__004
dsac_multi_hiv_00001,ABC <Abbreviation>,abstain, be faithful, condomise,,,,,,,ABC-voorkomingsboodskap,,,,,,-zithibe,-thembeka,-sebenzisa ijazi lomkhwenyana,-sebenzisa ikhondomu,,zinxweme,thembeka,sebenzisa ikhondom,zikhwebule,ziguzule,zila isondo,,,titsibe,tsembeka,sebentisa lijazi lemkhwenyane,,,zila,thembeka,sebenzisa ikhondomu,i-ABC,ikanyege,dirisa mosomelwana,ikgape,kgotlopo,ABC,,ikilele,botega,diriša khontomo,diriša kgotlopo,,,ila motabo,tshepahala,sebedisa khondomo,sebedisa kgohlopo,,,,ḓiilisa,fulufhedzea,shumisa khondomu,ḒIFUSHU,,,,,,papalata,tshembeka,tirhisa khondomu,
dsac_multi_hiv_00002,abdominal pain,,,,,,,,abdominale pyn,buikpyn,maagpyn,,,,izinhlungu zesisu,ubuhlungu besisu,ubuhlungu benxasisu,,,ubuhlungu bamazantsi esisu,ingqaqambo yamazantsi esisu,,,,,,,buhlungu beluntfu,buhlungu besinye,,,,ubuhlungu bamathumbu,,,,setlhabi mpeng,kgadikego,,,,,sehlabi ka mpeng,,,,,,bohloko ba ka mpeng,,,,,,,vhuṱungu ha thumbuni,vhuṱungu ha dangani,u luṅwa dangani,u luṅwaluṅwa,u susutwa,,,,,xivavi xa khwiri,,,
dsac_multi_hiv_00003,abortion <see also miscarriage>,termination of pregnancy,TOP,,,,,,aborsie,beëindiging van swangerskap,vrugafdrywing,,,,ukukhishwa kwesisu,ukuhushulwa kwesisu,,,,ukuqhomfa,ukukhupha isisu,,,,,,,kukhishwa kwesisu,kuhushula sisu,kukhipha sisu,,,ukurhululwa kombungu,,,,tshololompa,khutlisompa,ntshompa,tshenyompa,temololo,,go ntšha mpa,phedišo ya mpa,tshenyego ya mpa,,,,ho ntsha mpa,,,,,,,u pwasha thumbu,u thutha thumbu,u ṋula thumbu,u wisa thumbu,u bvisa thumbu,,,,,ku xixa,ku susa khwiri,,
dsac_multi_hiv_00004,abstain,,,,,,,,jou onthou van,jou weerhou van,,,,,-zithibe,-zibambe,-gwema,-zila,,zinxweme,zikhwebule,ziguzule,zila isondo,,,,,titsibe,gwema,zila temacansi,balekela temacansi,,-zila,,,,ikgapha,ikilela,,,,,ikilela,,,,,,ila motabo,ila thobalano,ila moseme,,,,,ḓiilisa,ḓibvisa,,,,,,,,papalata,,,
dsac_multi_hiv_00005,abstinence,,,,,,,,onthouding,weerhouding,,,,,ukuzithiba,ukuzibamba,ukugwema,ukuzila,,ukuzinxwema,ukuzikhwebula,ukuziguzula,ukuzila isondo,,,,,kutitsiba,kuzila temacansi,,,,ukuzila,ukulisa,,,boikgapho,boikilelo,,,,,boikilelo,boitimo,boikgaogantšho,,,,ho ila motabo,ho ila thobalano,ho ila moseme,ho itima motabo,ho itima thobalano,ho itima moseme,,vhuḓibvisi,vhuḓiilisi,,,,,,,,mpapalato,,,
dsac_multi_hiv_00006,abuse n. <see also sexual abuse>,,,,,,,,misbruik,,,,,,ukuhlukumeza,ukusebenzisa kabi,ukuxhaphaza,,,impatho-mbi,ukuxhaphaza,,,,,,,imphatfombi,kucaphata,kuphatsa kabi,,,ukutlhorisa,,,,tshotlo,pogiso,kgokgontsho,,,,tlhorišo,tshotlo,tšhomišompe,tšhomišobošaedi,tirišompe,tlaišo,tlhekefetso,tshotlo,tshebedio e mpe,,,,,vhutambudzi,vhushengedzi,,,,,,,,nxaniso,ku tirhisa hi ndlela yo biha,,
dsac_multi_hiv_00007,addict,,,,,,,,verslaafde,,,,,,ihuhwa,isigqila,,,,umntu orhumrhekileyo,ixhoba leziyobisi,,,,,,,sihuci,sigcili,,,,ikhobongo,ikghoba,,,lekgoba,,,,,,lekgoba,molemadi,mofeteledi,,,,lekgoba,,,,,,,phuli ya dzema,,,,,,,,,hlonga,,,
dsac_multi_hiv_00008,addiction,,,,,,,,verslawing,,,,,,ukuhuheka,ukugqilazeka,,,,ukurhumrheka,ukubalixhoba leziyobisi,,,,,,,kugcilateka,buhuci,kugcilatwa tidzakamiva,,,ubukhobongo,ubukghoba,,,tshwakgogo,bokgoba,tirisompe,,,,bokgoba,temalo,phetelelo,,,,bokgoba,,,,,,,vhupuli ha dzema,,,,,,,,,vuhlonga,,,
dsac_multi_hiv_00009,adhere <adhere to> {treatment or prescription},comply <comply with>,,,,,,,nakom,volg,,,,,-landelela,,,,,landela,thobela,,,,,,,landzela,,,,,-landela,-bambelela,,,tlhomama,,,,,,obamela,latela,,,,,-mamela ditaelo,,,,,,,u tevhedza,,,,,,,,,landzelela,,,
dsac_multi_hiv_00010,adherence {to treatment or prescription},compliance,,,,,,,nakoming,navolging,,,,,ukulandelela,,,,,ukulandela,ukuthobela,,,,,,,kulandzela,,,,,ukulandela,ukubambelela,,,kobamelo,tlhomamo,,,,,kobamelo,,,,,,ho mamela ditaelo,tsitlallelo,,,,,,vhutevhedzi,,,,,,,,,nandzelelo,,,
