,eng ,eng definition ,category,afr ,nde ,xho ,zul ,nso ,sot ,tsn ,ssw ,ven ,tso 
0,Agricultural inputs,"Consumable expendable inputs in agricultural production for both crops and livestock, for example fertilisers, seeds, veterinary drugs, etc.",Agriculture,Landbou-insette,Iinsetjenziswa zokulima,Amagalelo ezolimo,Izinsizamikhiqizo zezolimo,Dithuatweleto temong,Dintlafatsi tsa temothuo,Dithusa-tlhagiso tsa temothuo,Tisetjentiswa tetekulima,Thikhedzo dza zwa vhulimivhufuwi,Swinonisi
1,Annual crops,Crops that are planted and harvested during the same production season.,Agriculture,Jaargewasse,Isivuno somnyaka,Izilimo zonyaka,izitshalo zonyaka,Dibjalo ta ngwaga,Dijalo tsa selemo tsa hang ka selemo,Dijwalo tsa ngwaga,Sivuno semnyaka,Zwikawa zwa waha,Swimilanguva
2,Area harvested for grain,"Area harvested for dry grain (whole grain, seed, beans or unshelled nuts) for commercial purposes, or to be retained for seed, animal feed or human consumption. It therefore excludes areas planted but not harvested owing to hail damage, fire, grazing, etc., and areas harvested but not used for grain, but for silage, etc.",Agriculture,Oppervlakte geoes vir graan,isikhekhe esivunelwe ukudla,Ummandla ovunwe isivuno esiziinkozo,Insimu okuvunwe kuyo okusanhlamvu,Palomoka ya tema ya puno ya leroro,Masimo a kotulo ya dijothollo,Kgaolokotutsweng tlhaka/thoro,Indzawo levunelwe lokusaluhlavu,Tsimu / vhupo khaelwathoro,Ndhawu ya ntshovelo wa rimbewundzhoho
3,Area planted for grain,"That part of the total area planted that is planted with the intention of harvesting it for grain rather than for silage, grazing or fodder.",Agriculture,Oppervlakte beplant vir graan,isikhekhe esitjalelwe ukudla,Ummandla otyalwe ukutya okuziinkozo,Insimu etshalwe okusanhlamvu,Tema ye e lemetwego leroro/tema ye e lemetwego dijothoro,Masimo a temo ya dijothollo,Kgaolo e jwetsweng tlhaka/thoro; kgaolojwetsweng,Indzawo lehlanyelelwe lokusaluhlavu,Tsimu /vhupo ndimelwathoro / ngobelelwathoro,Ndhawu yo byala rimbewundzoho
4,Cash crop,Crop grown for sale rather than for consumption on the farm. Synonym is food crop.,Agriculture,Kontantgewas,Ukudla kokuthengisa,Isilimo esinengeniso,Izitshalo ezizothengiswa,Dibjalo ta go rekiwa,Dijalo tse rekiswang,Dijwalothekiso,Silimo sekutsengiswa,Tshizwalwa / tshimela ndimelwathengiso,Xirimiwanxaviso
5,Cereals,"Wheat, coarse grains and rice.",Agriculture,Graangewasse,Ukudla okumasiriyeli,Iisiriyeli,Amasiriyeli,Diserili/dijothoro,Dijothollo; diserele,Dijalothoro,Inhlavumabele,Zwa thoro,Mavelendzoho
6,Commercial farm,"A farm producing agricultural products intended for the market, usually registered for value added tax (VAT) and income tax.",Agriculture,Kommersile plaas,Iplasi ethengisako,Ifama yorhwebo,Ipulazi lohwebo,Polase ya bogwebi,Polasi ya kgwebo; polasi ya ho hweba,Polasekgwebo,Lipulazi letekuhweba,Bulasi ya bindu,Purasi ra bindzu
7,Commercial farmer,A person who produces agricultural products intended for the market. See subsistence farmer.,Agriculture,Kommersile boer,Umlimi othengisako,Umfama ongumrhwebi,Umlimi/ umfuyi ohwebayo,Molemi wa bogwebi,Molemirui ya rekisang,Molemirui wa mogwebi,Umlimi lohwebako,Mulimimufuwi mubindudzi,Murimimufuwi wa bindzu
8,Crop estimate,Quantitative determination of crop yield after harvest.,Agriculture,Oesskatting,Isilinganiso sesivuno,Umlinganiselo wesivuno,Isilinganiselomkhiqizo sezitshalo,Tekanyeto ya morago ga puno,Dipalopalo tsa tekanyetso ya kotulo; kakanyo ya kotulo,Tekanyetsothobo,Silinganisosivuno,Ngaganyakhao,Nkumbetelontshovelo
9,Crop forecast,Quantitative approximation of the crop yield prepared and released before harvest.,Agriculture,Oesvooruitskatting,Isilinganiso sokuzokuvunwa,Uqikelelo lwesivuno,Isibikezelomkhiqizo sezitshalo,Tekanyeto ya pele ga puno,Dipalopalo tse lebeletsweng tsa kotulo; ditebello tsa kotulo,Ponelopele ya thobo; ponelopelethobo,Kuhlawumbelisa sivuno,Nganganya-/ mvumbakhao,Mvhumbontshovelo
